Postcode area,Area covered,Population,Households,Postcodes,Active postcodes,Non-geographic postcodes,Latitude,Longitude
AB,Aberdeen,499692,218798,39272,17386,4,57.2996,-2.30654
AL,St Albans,249911,99209,11485,7796,0,51.7756,-0.283216
B,Birmingham,1904293,750842,62651,41904,0,52.465,-1.88855
BA,Bath,434539,183530,20548,15511,0,51.2289,-2.41701
BB,Blackburn,488564,202015,19297,13546,0,53.787,-2.33481
BD,Bradford,578374,223952,23875,17293,12,53.8291,-1.82917
BF,British Forces,,,48,48,0,36.3495,-4.67733
BH,Bournemouth,552110,242907,22668,15282,0,50.7506,-1.89137
BL,Bolton,379929,159979,14125,10397,0,53.5868,-2.40788
BN,Brighton,802838,356367,35865,22458,1,50.8291,-0.120581
BR,Bromley,299157,124954,10757,6805,0,51.3943,0.0424347
BS,Bristol,940076,398197,46513,27348,0,51.449,-2.62237
BT,Northern Ireland,1787720,693967,62980,50032,852,54.6042,-6.38106
CA,Carlisle,318114,140587,16567,12853,0,54.7318,-3.10741
CB,Cambridge,421190,167654,19661,11114,0,52.207,0.189607
CF,Cardiff,1005305,419896,43032,23429,0,51.5341,-3.29412
CH,Chester,659880,285880,24723,19072,0,53.2905,-3.02014
CM,Chelmsford,653626,270044,28262,18488,0,51.7591,0.403283
CO,Colchester,411411,176939,18644,13687,0,51.9024,0.92469
CR,Croydon,405236,158695,15100,8017,0,51.3561,-0.103593
CT,Canterbury,482627,206290,20351,15228,0,51.2555,1.23183
CV,Coventry,821033,341504,29149,21068,0,52.3669,-1.50037
CW,Crewe,309487,130803,14446,9809,0,53.1548,-2.44962
DA,Dartford,430139,173329,13307,9190,0,51.4423,0.221811
DD,Dundee,280568,128312,11536,9110,0,56.537,-2.86407
DE,Derby,730125,306586,30788,17878,0,52.9327,-1.49266
DG,Dumfries and Galloway,151139,67885,7826,6899,2,55.0231,-3.87867
DH,Durham,309030,132814,11737,9148,0,54.825,-1.61286
DL,Darlington,360734,156814,17024,13500,0,54.5328,-1.65853
DN,Doncaster,756058,320303,28530,22175,0,53.5409,-0.722739
DT,Dorchester,212796,93053,10079,7923,0,50.755,-2.48139
DY,Dudley,410847,171692,14711,11107,0,52.4533,-2.17703
E,East London,989043,370613,29572,16900,0,51.5432,-0.0156272
EC,Central London,33956,17102,12633,3602,0,51.5188,-0.0968163
EH,Edinburgh,868113,389353,33539,25247,9,55.9267,-3.22823
